clima,temperatura,sequia
soleado,caliente,si
soleado,caliente,si
nublado,caliente,si
lluvioso,templado,si
luvioso,frio.,no
lluvioso,frio.,no
nublado,frio.,si
soleado,templado,no
soleado,frio,si
lluvioso,templado,si
soleado,templado,si
nublado,templado,si
nublado,caliente,si
luvioso,templado,no
soleado,caliente,no
soleado,caliente,si
nublado,caliente,si
lluvioso,templado,si
luvioso,frio,no
lluvioso,frio.,no
nublado,frio,si
solead,templado,no
soleado,frio,si
lluvioso,templado,si
soleado,templado,si
nublado,templado,si
nublado,caliente,si
lluvioso,templado,no
soleado,caliente,no
soleado,caliente,si
nublado,caliente,si
lluvioso,templado,si
luvioso,frio,no
lluvioso,frio,no
nublado,frio.,si
solead,templado,no
soleado,frio,si
lluvioso,templado,si
soleado,templado,si
nublado,templado,si
nublado,caliente,si
lluvioso,templado,no
soleado,caliente,no
soleado,caliente,si
nublado,caliente,si
lluvioso,templado,si
luvioso,frio,no
lluvioso,frio,no
lluvioso,frio,no
nublado,frio,si
,templado,si
nublado,,si
nublado,caliente,
,templado,no
soleado,,no
soleado,caliente,
,caliente,si
lluvioso,,si
luvioso,frio,
,frio,no
